id,title,publish_time,close_time,resolution,question_id,t,x
264,Announcement of evidence for aliens by 2020?,2016-06-27 18:50:50+02:00,2019-12-31 12:59:59+01:00,0.0,264,2016-09-03 19:01:57.975231886,0.15
264,Announcement of evidence for aliens by 2020?,2016-06-27 18:50:50+02:00,2019-12-31 12:59:59+01:00,0.0,264,2016-09-03 19:01:57.975231886,0.15
264,Announcement of evidence for aliens by 2020?,2016-06-27 18:50:50+02:00,2019-12-31 12:59:59+01:00,0.0,264,2016-10-29 16:37:09.197977543,0.01
264,Announcement of evidence for aliens by 2020?,2016-06-27 18:50:50+02:00,2019-12-31 12:59:59+01:00,0.0,264,2016-10-29 16:37:09.197977543,0.01
264,Announcement of evidence for aliens by 2020?,2016-06-27 18:50:50+02:00,2019-12-31 12:59:59+01:00,0.0,264,2016-10-29 23:39:09.244687796,0.11
264,Announcement of evidence for aliens by 2020?,2016-06-27 18:50:50+02:00,2019-12-31 12:59:59+01:00,0.0,264,2016-07-03 03:56:57.283595085,0.08
264,Announcement of evidence for aliens by 2020?,2016-06-27 18:50:50+02:00,2019-12-31 12:59:59+01:00,0.0,264,2019-12-30 11:17:48.354669333,0.05
264,Announcement of evidence for aliens by 2020?,2016-06-27 18:50:50+02:00,2019-12-31 12:59:59+01:00,0.0,264,2016-07-03 03:56:57.283595085,0.08
264,Announcement of evidence for aliens by 2020?,2016-06-27 18:50:50+02:00,2019-12-31 12:59:59+01:00,0.0,264,2019-12-30 11:17:48.354669333,0.05
264,Announcement of evidence for aliens by 2020?,2016-06-27 18:50:50+02:00,2019-12-31 12:59:59+01:00,0.0,264,2016-07-03 03:56:57.283595085,0.08
264,Announcement of evidence for aliens by 2020?,2016-06-27 18:50:50+02:00,2019-12-31 12:59:59+01:00,0.0,264,2019-12-30 11:17:48.354669333,0.05
264,Announcement of evidence for aliens by 2020?,2016-06-27 18:50:50+02:00,2019-12-31 12:59:59+01:00,0.0,264,2016-07-03 03:56:57.283595085,0.08
264,Announcement of evidence for aliens by 2020?,2016-06-27 18:50:50+02:00,2019-12-31 12:59:59+01:00,0.0,264,2019-12-30 11:17:48.354669333,0.05
264,Announcement of evidence for aliens by 2020?,2016-06-27 18:50:50+02:00,2019-12-31 12:59:59+01:00,0.0,264,2016-06-27 18:29:24.694248915,0.99
264,Announcement of evidence for aliens by 2020?,2016-06-27 18:50:50+02:00,2019-12-31 12:59:59+01:00,0.0,264,2016-10-24 16:35:09.606869698,0.02
264,Announcement of evidence for aliens by 2020?,2016-06-27 18:50:50+02:00,2019-12-31 12:59:59+01:00,0.0,264,2016-06-27 18:29:24.694248915,0.99
264,Announcement of evidence for aliens by 2020?,2016-06-27 18:50:50+02:00,2019-12-31 12:59:59+01:00,0.0,264,2016-10-24 16:35:09.606869698,0.02
264,Announcement of evidence for aliens by 2020?,2016-06-27 18:50:50+02:00,2019-12-31 12:59:59+01:00,0.0,264,2016-09-16 15:19:31.514889956,0.01
264,Announcement of evidence for aliens by 2020?,2016-06-27 18:50:50+02:00,2019-12-31 12:59:59+01:00,0.0,264,2016-09-16 15:19:31.514889956,0.01
264,Announcement of evidence for aliens by 2020?,2016-06-27 18:50:50+02:00,2019-12-31 12:59:59+01:00,0.0,264,2016-06-27 18:00:02.666088104,0.12
264,Announcement of evidence for aliens by 2020?,2016-06-27 18:50:50+02:00,2019-12-31 12:59:59+01:00,0.0,264,2016-06-27 18:00:02.666088104,0.12
264,Announcement of evidence for aliens by 2020?,2016-06-27 18:50:50+02:00,2019-12-31 12:59:59+01:00,0.0,264,2016-07-27 03:55:32.278147936,0.19
264,Announcement of evidence for aliens by 2020?,2016-06-27 18:50:50+02:00,2019-12-31 12:59:59+01:00,0.0,264,2016-07-27 03:55:32.278147936,0.19
264,Announcement of evidence for aliens by 2020?,2016-06-27 18:50:50+02:00,2019-12-31 12:59:59+01:00,0.0,264,2016-09-16 15:10:34.343672991,0.06
264,Announcement of evidence for aliens by 2020?,2016-06-27 18:50:50+02:00,2019-12-31 12:59:59+01:00,0.0,264,2016-06-29 04:06:58.417591095,0.08
264,Announcement of evidence for aliens by 2020?,2016-06-27 18:50:50+02:00,2019-12-31 12:59:59+01:00,0.0,264,2017-06-24 06:16:43.020555973,0.03
264,Announcement of evidence for aliens by 2020?,2016-06-27 18:50:50+02:00,2019-12-31 12:59:59+01:00,0.0,264,2016-06-29 04:06:58.417591095,0.08
264,Announcement of evidence for aliens by 2020?,2016-06-27 18:50:50+02:00,2019-12-31 12:59:59+01:00,0.0,264,2017-06-24 06:16:43.020555973,0.03
264,Announcement of evidence for aliens by 2020?,2016-06-27 18:50:50+02:00,2019-12-31 12:59:59+01:00,0.0,264,2016-08-04 00:33:55.940174103,0.01
264,Announcement of evidence for aliens by 2020?,2016-06-27 18:50:50+02:00,2019-12-31 12:59:59+01:00,0.0,264,2016-08-04 00:33:55.940174103,0.01
264,Announcement of evidence for aliens by 2020?,2016-06-27 18:50:50+02:00,2019-12-31 12:59:59+01:00,0.0,264,2016-08-05 01:22:39.653371096,0.1
264,Announcement of evidence for aliens by 2020?,2016-06-27 18:50:50+02:00,2019-12-31 12:59:59+01:00,0.0,264,2016-10-09 15:13:08.019481897,0.01
264,Announcement of evidence for aliens by 2020?,2016-06-27 18:50:50+02:00,2019-12-31 12:59:59+01:00,0.0,264,2016-06-27 22:52:48.689721107,0.01
264,Announcement of evidence for aliens by 2020?,2016-06-27 18:50:50+02:00,2019-12-31 12:59:59+01:00,0.0,264,2016-06-27 22:52:48.689721107,0.01
264,Announcement of evidence for aliens by 2020?,2016-06-27 18:50:50+02:00,2019-12-31 12:59:59+01:00,0.0,264,2016-06-27 22:52:48.689721107,0.01
264,Announcement of evidence for aliens by 2020?,2016-06-27 18:50:50+02:00,2019-12-31 12:59:59+01:00,0.0,264,2017-03-13 22:46:27.485277653,0.15
264,Announcement of evidence for aliens by 2020?,2016-06-27 18:50:50+02:00,2019-12-31 12:59:59+01:00,0.0,264,2018-02-05 23:33:25.018044949,0.03
264,Announcement of evidence for aliens by 2020?,2016-06-27 18:50:50+02:00,2019-12-31 12:59:59+01:00,0.0,264,2016-08-08 15:28:53.259499073,0.01
264,Announcement of evidence for aliens by 2020?,2016-06-27 18:50:50+02:00,2019-12-31 12:59:59+01:00,0.0,264,2016-08-07 15:27:38.478991985,0.1
264,Announcement of evidence for aliens by 2020?,2016-06-27 18:50:50+02:00,2019-12-31 12:59:59+01:00,0.0,264,2016-08-22 15:38:59.358376980,0.05
264,Announcement of evidence for aliens by 2020?,2016-06-27 18:50:50+02:00,2019-12-31 12:59:59+01:00,0.0,264,2018-05-30 08:05:10.373486042,0.1
264,Announcement of evidence for aliens by 2020?,2016-06-27 18:50:50+02:00,2019-12-31 12:59:59+01:00,0.0,264,2018-05-30 08:05:10.373486042,0.1
264,Announcement of evidence for aliens by 2020?,2016-06-27 18:50:50+02:00,2019-12-31 12:59:59+01:00,0.0,264,2018-05-30 08:05:10.373486042,0.1
264,Announcement of evidence for aliens by 2020?,2016-06-27 18:50:50+02:00,2019-12-31 12:59:59+01:00,0.0,264,2016-08-27 04:19:32.031411886,0.05
264,Announcement of evidence for aliens by 2020?,2016-06-27 18:50:50+02:00,2019-12-31 12:59:59+01:00,0.0,264,2016-07-26 19:31:06.801424980,0.05
264,Announcement of evidence for aliens by 2020?,2016-06-27 18:50:50+02:00,2019-12-31 12:59:59+01:00,0.0,264,2016-07-26 19:31:06.801424980,0.05
