Time,Prediction,id,Rolling,grouping,resolution
2016-08-13 21:25:25.668177920,0.85,,,community_mean,0.0
2016-08-13 21:25:25.668177920,0.5933725010791473,,,metaculus,0.0
2016-08-13 21:25:25.668178000,0.85,12662,,forecasters,0.0
2016-08-13 21:25:25.668178000,0.85,5888,,forecasters,0.0
2016-08-13 21:38:01.250260000,0.9,6127,,forecasters,0.0
2016-08-13 21:38:01.250260000,0.9,20792,,forecasters,0.0
2016-08-13 21:39:03.802361000,0.6,7207,,forecasters,0.0
2016-08-13 22:41:57.486303000,0.99,11930,,forecasters,0.0
2016-08-13 22:41:57.486303000,0.99,6212,,forecasters,0.0
2016-08-13 23:19:42.521264000,0.62,6009,,forecasters,0.0
2016-08-13 23:19:42.521264000,0.62,13166,,forecasters,0.0
2016-08-13 23:19:42.521264000,0.62,11375,,forecasters,0.0
2016-08-13 23:57:12.966496000,0.75,5928,,forecasters,0.0
2016-08-13 23:57:12.966496000,0.75,15578,,forecasters,0.0
2016-08-13 23:57:12.966496000,0.75,24953,,forecasters,0.0
2016-08-13 23:57:12.966496000,0.75,12270,,forecasters,0.0
2016-08-14 00:16:57.395094000,0.85,11815,,forecasters,0.0
2016-08-14 00:16:57.395094000,0.85,25887,,forecasters,0.0
2016-08-14 00:16:57.395094000,0.85,9688,,forecasters,0.0
2016-08-14 00:16:57.395094000,0.85,6059,,forecasters,0.0
2016-08-14 00:37:45.049582000,0.99,5996,,forecasters,0.0
2016-08-14 00:37:45.049582000,0.99,20811,,forecasters,0.0
2016-08-14 01:09:46.389170000,0.28,6310,,forecasters,0.0
2016-08-14 01:09:46.389170000,0.28,19390,,forecasters,0.0
2016-08-14 03:24:51.472863000,0.86,9726,,forecasters,0.0
2016-08-14 03:24:51.472863000,0.86,6074,,forecasters,0.0
2016-08-14 03:24:51.472863000,0.86,12227,,forecasters,0.0
2016-08-14 04:56:13.695224000,0.34,6268,,forecasters,0.0
2016-08-14 05:47:14.612107000,0.29,25889,,forecasters,0.0
2016-08-14 05:47:14.612107000,0.29,13239,,forecasters,0.0
2016-08-14 05:47:14.612107000,0.29,5978,,forecasters,0.0
2016-08-14 05:47:14.612107000,0.29,9652,,forecasters,0.0
2016-08-14 05:47:14.612107008,0.20744048084041117,,,metaculus,0.0
2016-08-14 22:53:05.482432000,0.85,6186,,forecasters,0.0
2016-08-15 03:03:24.233063000,0.15,6150,,forecasters,0.0
2016-08-15 03:03:24.233063000,0.15,10701,,forecasters,0.0
2016-08-15 03:03:24.233063000,0.15,20965,,forecasters,0.0
2016-08-15 03:03:24.233063000,0.15,11830,,forecasters,0.0
2016-08-15 03:03:24.233063000,0.15,21098,,forecasters,0.0
2016-08-15 10:37:25.201316000,0.5,5982,,forecasters,0.0
2016-08-15 11:50:20.617719000,0.66,20795,,forecasters,0.0
2016-08-15 11:50:20.617719000,0.66,6061,,forecasters,0.0
2016-08-15 11:50:20.617719040,0.17361648463104276,,,metaculus,0.0
2016-08-16 04:19:00.308043000,0.3,20833,,forecasters,0.0
2016-08-16 04:19:00.308043000,0.3,5989,,forecasters,0.0
2016-08-16 04:19:00.308043008,0.63412,,,community_mean,0.0
2016-08-16 12:04:25.102217000,0.64,20792,,forecasters,0.0
2016-08-16 12:04:25.102217000,0.64,6127,,forecasters,0.0
2016-08-17 01:15:47.089996000,0.6,5960,,forecasters,0.0
2016-08-17 01:15:47.089996000,0.6,20818,,forecasters,0.0
2016-08-17 01:15:47.089996032,0.15488162644213557,,,metaculus,0.0
2016-08-17 21:06:21.461185000,0.65,6102,,forecasters,0.0
2016-08-17 21:06:21.461185000,0.65,20831,,forecasters,0.0
2016-08-17 21:06:21.461185024,0.61947,,,community_mean,0.0
2016-08-19 04:37:03.762943000,0.67,20841,,forecasters,0.0
2016-08-19 04:37:03.762943000,0.67,6096,,forecasters,0.0
2016-08-19 15:52:37.587664000,0.36,9650,0.5993999999999999,forecasters,0.0
2016-08-19 15:52:37.587664000,0.36,11958,0.6092,forecasters,0.0
2016-08-19 15:52:37.587664000,0.36,6035,0.5896,forecasters,0.0
2016-08-19 17:09:23.609566000,0.75,6247,0.5866,forecasters,0.0
2016-08-19 17:09:23.609566000,0.75,11861,0.5836,forecasters,0.0
2016-08-19 17:09:23.609566000,0.75,9705,0.5818,forecasters,0.0
2016-08-19 17:09:23.609566000,0.75,21197,0.5866,forecasters,0.0
2016-08-20 03:06:05.716128000,0.64,12189,0.5752,forecasters,0.0
2016-08-20 03:06:05.716128000,0.64,6365,0.5748000000000001,forecasters,0.0
2016-08-20 15:21:25.596222976,0.1623253286526768,,,metaculus,0.0
2016-08-20 15:21:25.596222976,0.61625,,,community_mean,0.0
2016-08-20 15:21:25.596223000,0.6,11868,0.5744,forecasters,0.0
2016-08-20 15:21:25.596223000,0.6,15612,0.5574,forecasters,0.0
2016-08-20 15:21:25.596223000,0.6,6060,0.5714,forecasters,0.0
2016-08-20 15:21:25.596223000,0.6,21176,0.5623999999999999,forecasters,0.0
2016-08-20 15:21:25.596223000,0.6,20967,0.5748,forecasters,0.0
2016-08-20 15:21:25.596223000,0.6,14061,0.5654,forecasters,0.0
2016-08-20 15:21:25.596223000,0.6,9645,0.5684,forecasters,0.0
2016-08-24 18:53:54.817981952,0.6116,,,community_mean,0.0
2016-08-24 18:53:54.817982000,0.5,6182,0.5504,forecasters,0.0
2016-08-24 18:53:54.817982000,0.5,19344,0.5434,forecasters,0.0
2016-08-25 02:34:58.122908000,0.75,6113,0.5414,forecasters,0.0
2016-08-25 10:57:02.345012000,0.6,13086,0.5336,forecasters,0.0
2016-08-25 10:57:02.345012000,0.6,6004,0.5257999999999999,forecasters,0.0
2016-08-28 01:42:25.073499904,0.6175,,,community_mean,0.0
2016-08-28 01:42:25.073500000,0.65,6040,0.5331999999999999,forecasters,0.0
2016-08-28 01:42:25.073500000,0.65,12214,0.5406,forecasters,0.0
2016-08-28 01:42:25.073500000,0.65,10700,0.5364,forecasters,0.0
2016-08-29 02:17:18.405345000,0.85,19653,0.5359999999999999,forecasters,0.0
2016-08-29 02:17:18.405345000,0.85,6273,0.5362,forecasters,0.0
2016-08-29 10:57:45.255525888,0.618,,,community_mean,0.0
2016-08-29 10:57:45.255526000,0.4,6230,0.5416000000000001,forecasters,0.0
2016-08-29 10:57:45.255526000,0.4,14091,0.5372,forecasters,0.0
2016-08-29 10:57:45.255526000,0.4,10143,0.5394,forecasters,0.0
2016-08-30 18:00:35.678253000,0.1,13106,0.5378000000000001,forecasters,0.0
2016-08-30 18:00:35.678253000,0.1,6509,0.534,forecasters,0.0
2016-08-30 18:00:35.678253056,0.15945511140566662,,,metaculus,0.0
2016-08-31 01:06:35.222155000,0.15,6586,0.52,forecasters,0.0
2016-08-31 07:07:31.062202000,0.67,22571,0.5616,forecasters,0.0
2016-08-31 07:07:31.062202000,0.67,20184,0.5408,forecasters,0.0
2016-08-31 07:07:31.062202000,0.67,23077,0.5512,forecasters,0.0
2016-08-31 07:07:31.062202000,0.67,6613,0.5758000000000001,forecasters,0.0
2016-08-31 07:07:31.062202000,0.67,11744,0.5756,forecasters,0.0
2016-08-31 07:07:31.062202000,0.67,13801,0.5754,forecasters,0.0
2016-08-31 07:07:31.062202000,0.67,9742,0.5304,forecasters,0.0
2016-08-31 07:07:31.062202000,0.67,24279,0.5720000000000001,forecasters,0.0
2016-08-31 18:57:18.399301888,0.59412,,,community_mean,0.0
2016-08-31 18:57:18.399302000,0.74,20825,0.5846,forecasters,0.0
